EV Rank,Golfer,EV ($),Skill,SG Total,OWGR Rank,Form,Course Fit,Odds,Win %,Top 5 %,Top 10 %,Make Cut %,Season Action,Pick Rank,Reason
57,Max McGreevy,43043,63.4,,61,Average,Poor,+11500,0.12,0.8,2.1,78.0,USE,57,Elite (top 15) — surplus allows use
58,Doug Ghim,42255,36.1,+0.150,148,Average,Good,+11500,0.12,0.8,2.0,78.0,USE,58,
59,Matt Kuchar,40974,43.1,-0.040,131,Good,No Data,+16500,0.11,0.7,1.9,76.0,USE,59,
60,Austin Smotherman,40182,45.1,-0.020,112,Good,Average,+19500,0.11,0.7,1.9,76.0,USE,60,
61,Tom Kim,39369,50.7,+0.660,107,Good,No Data,+24000,0.11,0.7,1.8,75.0,USE,61,
62,Davis Riley,36249,54.4,+0.200,85,Good,Weak,+26000,0.1,0.6,1.6,72.0,USE,62,
63,Taylor Moore,36202,34.4,+0.000,175,Good,Good,+18500,0.1,0.6,1.6,72.0,USE,63,
64,Brooks Koepka,36139,25,,,Unknown,No Data,+5300,0.1,0.6,1.6,72.0,USE,64,
65,Michael Brennan,34842,49.0,+0.220,35,Average,No Data,+19000,0.09,0.6,1.6,71.0,USE,65,
66,Kris Ventura,34659,25,,,Unknown,Strong,+18000,0.09,0.6,1.5,70.0,USE,66,
67,Adrien Saddier,34117,53.4,,74,Average,No Data,+25000,0.09,0.6,1.5,70.0,USE,67,
68,Ludvig Åberg,33760,25,,,Unknown,Strong,,0.09,0.6,1.5,69.0,USE,68,
69,Stephan Jaeger,33303,38.3,+0.250,116,Average,Good,+19500,0.09,0.5,1.5,69.0,USE,69,
70,Aldrich Potgieter,33156,34.8,+0.110,82,Cold,Strong,+18500,0.09,0.5,1.4,69.0,USE,70,
71,Matt McCarty,33054,25,,,Unknown,Average,+6000,0.08,0.5,1.4,69.0,USE,71,
72,Chandler Phillips,32504,39.9,-0.130,145,Good,Average,+22500,0.08,0.5,1.4,68.0,USE,72,
73,Sami Välimäki,32475,25,,,Unknown,Strong,,0.08,0.5,1.4,68.0,USE,73,
74,Tony Finau,32131,38.5,+0.620,102,Cold,Good,+18000,0.08,0.5,1.4,68.0,USE,74,
75,Takumi Kanaya,30431,41.0,-0.180,114,Good,Average,+21000,0.08,0.5,1.3,65.0,USE,75,
